@relation datacsv

@attribute X37 numeric
@attribute X38 numeric
@attribute X41 numeric
@attribute X42 numeric
@attribute X10 numeric

@data
35,25,2,1,0
31,20,12,8,16.7
29,21,18,11,26.9
38,27,9,4,10.4
43,28,12,5,13.2
28,21,8,6,10.3
36,30,4,14,36.3
49,39,21,11,38.8
29,17,6,4,27.4
21,17,10,3,47.2
21,17,12,11,5.4
19,21,7,8,28
29,21,3,6,23.7
43,34,14,9,8.6
34,31,9,2,4.4
33,27,11,4,50.4
29,21,2,4,13.8
21,18,27,21,9.5
52,33,22,14,21.7
26,23,18,8,5
40,36,170,317,12
38,30,16,27,14
34,27,16,13,10.1
24,22,6,10,6
18,20,18,25,16.5
48,35,30,20,16.1
12,11,16,7,5.9
35,30,21,5,5.9
35,29,7,3,7.3
32,24,4,1,0
41,28,11,11,26.2
34,25,21,14,0
22,22,19,5,12.8
35,29,9,14,19.5
18,10,2,1,0
1,4,37,18,14.4
3,10,71,68,9.6
3,10,135,130,25.8
2,4,62,20,12.6
1,7,32,18,0
7,12,44,24,3.4
8,11,150,195,33.4
14,32,1327,1995,19.2
12,15,399,439,32.6
8,6,22,28,11.3
2,5,25,19,17.1
3,2,9,14,3.8
